Warning: truncated output (original token count: 105285)
Total output lines: 819

kind,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,runtime_root,reachable_from_runtime_root
Definition,tiling_to_band_pinstr,TilingBandScheduleValidator.tiling_to_band_pinstr,TilingBandScheduleValidator,CommonBandInfrastructure,,54,56,,,,0,0,0,,0,,0,,no,no,no,no
Definition,tiling_to_band_var,TilingBandScheduleValidator.tiling_to_band_var,TilingBandScheduleValidator,CommonBandInfrastructure,,57,61,,,,0,0,0,,1,tiling_to_band_pprog,0,,no,no,no,no
Definition,tiling_to_band_pprog,TilingBandScheduleValidator.tiling_to_band_pprog,TilingBandScheduleValidator,CommonBandInfrastructure,,62,66,,,,0,0,1,tiling_to_band_var,0,,0,,no,no,no,no
Record,pinstr_tiling_band,TilingBandScheduleValidator.pinstr_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,67,71,,,,0,0,0,,115,after_stripmined_band_new_pi;after_stripmined_band_new_pinstrs;after_stripmined_band_new_pprog;band_new_cutoff;check_band_starts_eqb;check_common_band_startb;check_pinstr_list_pluto_componentwise_permutable_bands_direct;check_pinstr_list_pluto_permutable_band_component_via_validate_tiling;check_pinstr_list_pluto_permutable_band_components_from;check_pinstr_list_pluto_permutable_band_components_via_validate_tiling;check_pinstr_list_pluto_permutable_band_direct;check_pinstr_list_pluto_permutable_band_via_validate_tiling;check_pinstr_list_pluto_permutable_band_via_validate_tiling_old;check_pinstr_list_pluto_permutable_bands_component_via_validate_tiling;check_pinstr_list_pluto_permutable_bands_components_from;check_pinstr_list_pluto_permutable_bands_components_via_validate_tiling;check_pinstr_list_second_level_schedule_by_layoutb;check_pinstr_list_second_level_schedule_directb;check_pinstr_list_second_level_schedule_interleavedb;check_pinstr_list_second_level_schedule_stripminedb;check_pinstr_list_second_level_schedule_symmetricb;check_pinstr_list_second_level_schedule_variantb;check_pinstr_list_second_level_schedule_zero_erasureb;check_pinstr_list_single_permutable_tiling_bands_via_validate_tiling;check_pinstr_second_level_schedule_interleaved_normalizedb;check_pinstr_second_level_schedule_interleavedb;check_pinstr_second_level_schedule_stripmined_normalizedb;check_pinstr_second_level_schedule_stripminedb;check_pinstr_second_level_schedule_symmetricb;check_pprog_permutable_tiling_bands_via_validate_tiling;check_pprog_pluto_permutable_tiling_bands_direct;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling;check_pprog_second_level_schedule_directb;check_pprog_second_level_schedule_interleavedb;check_pprog_second_level_schedule_stripminedb;check_pprog_second_level_schedule_symmetricb;check_pprog_statementwise_second_level_scheduleb;common_band_start;common_tiling_band;direct_second_level_guard_test_band;dummy_tiling_band;infer_common_tiling_band;infer_pinstr_list_second_level_bands;infer_pinstr_list_tiling_bands;infer_pinstr_second_level_band;infer_pinstr_tiling_band;infer_pprog_tiling_bands;instr_point_ext_band_block_ts;instr_point_ext_band_component_decreases;instr_point_ext_band_component_decreases_at;instr_point_ext_band_order_lt;instr_point_ext_band_prefix_ts;instr_point_ext_same_band_slice;instr_point_ext_tile_block_ts;make_pluto_band_component_guard_polys;max_band_new_cutoff;max_tiling_band_len;pinstr_tiling_band_cert;pinstr_tiling_band_eqb;pinstr_tiling_band_matches;pprog_permutable_tiling_bands;pprog_pluto_componentwise_permutable_band;pprog_pluto_componentwise_permutable_bands;pprog_pluto_permutable_band;pprog_pluto_permutable_tiling_bands;pprog_pluto_permutable_tiling_bands_strong;pprog_tiling_bands_cert;prioritize_pluto_band_component_or_zero_rows;prioritize_pluto_band_component_or_zero_ts;prioritize_pluto_band_component_rows;prioritize_pluto_band_component_ts;project_band_ip_ext;project_band_pi_ext;project_ip_ext_with_band;project_pinstrs_ext_with_band;project_pinstrs_ext_with_bands;project_pinstrs_ext_with_pluto_band;project_pinstrs_ext_with_pluto_band_component;project_pinstrs_ext_with_pluto_bands_component;project_pinstrs_ext_with_pluto_phased_band;project_pluto_band_component_ip_ext;project_pluto_band_component_pi_ext;project_pluto_band_ip_ext;project_pluto_band_pi_ext;project_pluto_bands_component_ip_ext;project_pluto_bands_component_pi_ext;project_pluto_phased_band_pi_ext;project_pprog_band_ip_ext;rel_list_eqdom_after_stripmined_band_new;rel_list_eqdom_retiled_old_band_old;retiled_old_band_new_pi;retiled_old_band_new_pinstrs;retiled_old_band_new_pprog;retiled_old_band_old_pi;retiled_old_band_old_pinstrs;retiled_old_band_old_pprog;scalar_aware_band;schedule_band_rows;schedule_take_prefix_band;schedule_take_prefix_only;second_level_expected_schedules;second_level_schedule_layout_lex_equivalent;second_level_schedule_zero_erasure_match;stripmine_schedule_after_env;stripmine_second_level_schedule_after_env;stripmine_second_level_schedule_after_env_by_layout;stripmine_second_level_schedule_interleaved_after_env;validate_instr_and_list_pluto_band_component_direct;validate_instr_band_entry_and_list_component_direct;validate_instr_band_entry_list_component_direct;validate_instr_band_entry_list_components_direct_from;validate_instr_list_pluto_band_component_direct;validate_instr_list_pluto_band_components_direct_from;validate_two_instr_band_entries_component_direct;validate_two_instrs_pluto_band_component_direct,7,src/TilingBandMixedSecondValidator.v:45:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:74:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:82:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:115:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:139:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:161:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:2939:Core.pinstr_tiling_band,yes,yes,no,yes
Definition,pinstr_tiling_band_eqb,TilingBandScheduleValidator.pinstr_tiling_band_eqb,TilingBandScheduleValidator,CommonBandInfrastructure,,72,76,,,,0,0,1,pinstr_tiling_band,5,infer_common_tiling_band;infer_common_tiling_band_sound;pinstr_tiling_band_eqb_eq;pinstr_tiling_band_eqb_refl_local;validate_two_instr_band_entries_component_direct,1,src/TilingBandMixedSecondValidator.v:89:Core.pinstr_tiling_band_eqb,yes,yes,no,yes
Lemma,pinstr_tiling_band_eqb_eq,TilingBandScheduleValidator.pinstr_tiling_band_eqb_eq,TilingBandScheduleValidator,CommonBandInfrastructure,,77,91,81,91,Qed,11,9,1,pinstr_tiling_band_eqb,1,infer_common_tiling_band_sound,1,src/TilingBandMixedSecondValidator.v:345:Core.pinstr_tiling_band_eqb_eq,yes,yes,no,yes
Definition,common_tiling_band,TilingBandScheduleValidator.common_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,93,97,,,,0,0,1,pinstr_tiling_band,6,common_tiling_band_nth_error;infer_common_tiling_band_sound;pprog_pluto_permutable_tiling_bands;pprog_pluto_permutable_tiling_bands_intro;pprog_pluto_permutable_tiling_bands_strong;pprog_pluto_permutable_tiling_bands_strong_implies_reordering_safe_if_local_bridge,0,,no,yes,no,yes
Definition,infer_common_tiling_band,TilingBandScheduleValidator.infer_common_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,98,107,,,,0,0,2,pinstr_tiling_band;pinstr_tiling_band_eqb,7,check_pprog_pluto_permutable_tiling_bands_direct;check_pprog_pluto_permutable_tiling_bands_direct_sound_with_env_len;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling_sound_with_env_len;infer_common_tiling_band_sound;pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common,0,,no,yes,no,yes
Lemma,infer_common_tiling_band_sound,TilingBandScheduleValidator.infer_common_tiling_band_sound,TilingBandScheduleValidator,CommonBandInfrastructure,,108,124,112,124,Qed,13,11,4,common_tiling_band;infer_common_tiling_band;pinstr_tiling_band_eqb;pinstr_tiling_band_eqb_eq,4,check_pprog_pluto_permutable_tiling_bands_direct_sound_with_env_len;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling_sound_with_env_len;pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common,0,,no,yes,no,yes
Lemma,common_tiling_band_nth_error,TilingBandScheduleValidator.common_tiling_band_nth_error,TilingBandScheduleValidator,CommonBandInfrastructure,,126,142,131,142,Qed,12,10,1,common_tiling_band,3,pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common;pprog_pluto_permutable_tiling_bands_strong_implies_reordering_safe_wf_with_env_len,0,,no,yes,no,yes
Fixpoint,listz_strict_eqb,TilingBandScheduleValidator.listz_strict_eqb,TilingBandScheduleValidator,CommonBandInfrastructure,,144,150,,,,0,0,0,,10,check_common_tiling_band_recipe_withb;check_second_level_recipe_sizes_eqb;eval_tile_links_from_schedule_rows_aux;listz_prefixb;listz_strict_eqb_eq;schedule_rows_of_links_aux;schedule_rows_of_links_aux_exact_cols;schedule_rows_of_links_aux_length;second_level_band_recipe_of_links_aux;second_level_band_recipe_of_links_aux_sound,2,src/TilingBandMixedSecondValidator.v:91:Core.listz_strict_eqb;src/TilingBandPhaseScalarValidator.v:66:Core.listz_strict_eqb,yes,yes,no,yes
Lemma,listz_strict_eqb_eq,TilingBandScheduleValidator.listz_strict_eqb_eq,TilingBandScheduleValidator,CommonBandInfrastructure,,151,166,155,166,Qed,12,10,1,listz_strict_eqb,5,check_common_tiling_band_recipe_withb_sound;check_second_level_recipe_sizes_eqb_sound;eval_tile_links_from_schedule_rows_aux;listz_prefixb_sound;second_level_band_recipe_of_links_aux_sound,2,src/TilingBandMixedSecondValidator.v:346:Core.listz_strict_eqb_eq;src/TilingBandPhaseScalarValidator.v:270:Core.listz_strict_eqb_eq,yes,yes,no,yes
Definition,schedule_row_of_affine_expr,TilingBandScheduleValidator.schedule_row_of_affine_expr,TilingBandScheduleValidator,CommonBandInfrastructure,,168,171,,,,0,0,0,,0,,0,,no,no,no,no
Definition,tile_link_has_zero_prefix,TilingBandScheduleValidator.tile_link_has_zero_prefix,TilingBandScheduleValidator,CommonBandInfrastructure,,172,175,,,,0,0,0,,0,,0,,no,no,no,no
Definition,schedule_row_of_tile_link_base,TilingBandScheduleValidator.schedule_row_of_tile_link_base,TilingBandScheduleValidator,CommonBandInfrastructure,,176,180,,,,0,0,0,,8,affine_product_schedule_row_of_tile_link_base;affine_product_schedule_row_of_tile_link_base_second_level;eval_tile_links_from_second_level_recipe_spec;schedule_rows_of_links_aux;schedule_rows_of_links_aux_exact_cols;second_level_band_recipe_of_links_aux;second_level_band_recipe_root_rows_exact_cols;second_level_band_recipe_spec,0,,no,yes,no,yes
Fixpoint,schedule_rows_of_links_aux,TilingBandScheduleValidator.schedule_rows_of_links_aux,TilingBandScheduleValidator,CommonBandInfrastructure,,181,198,,,,0,0,2,listz_strict_eqb;schedule_row_of_tile_link_base,4,eval_tile_links_from_schedule_rows_aux;schedule_rows_of_links;schedule_rows_of_links_aux_exact_cols;schedule_rows_of_links_aux_length,0,,no,yes,no,yes
Definition,schedule_rows_of_links,TilingBandScheduleValidator.schedule_rows_of_links,TilingBandScheduleValidator,CommonBandInfrastructure,,199,202,,,,0,0,1,schedule_rows_of_links_aux,26,check_ordinary_tiling_witnessb;check_pinstr_tiling_bandb;check_pinstr_tiling_bandb_sound;check_pinstr_tiling_schedule_stripminedb_sound;check_scalar_aware_band_selectionb;check_scalar_aware_band_selectionb_sound;common_recipe_band_pointwise_le_implies_tiles_pointwise_le;common_recipe_equal_band_block_implies_equal_tiles;eval_tile_links_eq_scalar_aware_loop_tile_values;eval_tile_links_from_common_recipe_affine_product_eq;eval_tile_links_from_schedule_rows;infer_pinstr_tiling_band;infer_pinstr_tiling_band_bound;infer_scalar_aware_band_layout;ordinary_pair_local_reversal_bridge_wf_with_env_len;ordinary_semantic_rows_exact_cols;parse_ordinary_semantic_data;parse_ordinary_semantic_data_length;parse_ordinary_semantic_data_nth_error;parse_ordinary_semantic_data_positive;phase_semantic_added_tiles_eq;pinstr_tiling_band_matches;scalar_aware_entry_shape;schedule_rows_of_links_exact_cols;schedule_rows_of_links_length;second_level_band_recipe_of_witness_rejects_ordinary,5,src/TilingBandMixedSecondValidator.v:1681:Core.schedule_rows_of_links;src/TilingBandMixedSecondValidator.v:1683:Core.schedule_rows_of_links;src/TilingBandMixedSecondValidator.v:1983:Core.schedule_rows_of_links;src/TilingBandMixedSecondValidator.v:1985:Core.schedule_rows_of_links;src/TilingBandMixedSecondValidator.v:2529:Core.schedule_rows_of_links,yes,yes,no,yes
Definition,check_ordinary_tiling_witnessb,TilingBandScheduleValidator.check_ordinary_tiling_witnessb,TilingBandScheduleValidator,CommonBandInfrastructure,,203,209,,,,0,0,1,schedule_rows_of_links,2,check_ordinary_tiling_witnessesb;second_level_band_recipe_of_witness_rejects_ordinary,0,,no,no,no,no
Definition,check_ordinary_tiling_witnessesb,TilingBandScheduleValidator.check_ordinary_tiling_witnessesb,TilingBandScheduleValidator,CommonBandInfrastructure,,210,213,,,,0,0,1,check_ordinary_tiling_witnessb,2,check_pprog_ordinary_tiling_permutability_via_validate_tiling;checked_tiling_ordinary_direct_validate_correct_same_ctxt,0,,no,no,no,no
Definition,pinstr_tiling_band_matches,TilingBandScheduleValidator.pinstr_tiling_band_matches,TilingBandScheduleValidator,CommonBandInfrastructure,,214,226,,,,0,0,2,pinstr_tiling_band;schedule_rows_of_links,4,check_pinstr_tiling_bandb_sound;check_pinstr_tiling_schedule_stripminedb_sound;ordinary_pair_local_reversal_bridge_wf_with_env_len;pinstr_tiling_band_cert,3,src/TilingBandMixedSecondValidator.v:1680:Core.pinstr_tiling_band_matches;src/TilingBandMixedSecondValidator.v:1982:Core.pinstr_tiling_band_matches;src/TilingBandMixedSecondValidator.v:2528:Core.pinstr_tiling_band_matches,yes,yes,no,yes
Definition,stripmine_schedule_after_env,TilingBandScheduleValidator.stripmine_schedule_after_env,TilingBandScheduleValidator,CommonBandInfrastructure,,227,246,,,,0,0,1,pinstr_tiling_band,8,check_pinstr_tiling_schedule_stripminedb;check_pinstr_tiling_schedule_stripminedb_sound;inferred_tiling_band_schedule_length_lower;ordinary_pair_local_reversal_bridge_wf_with_env_len;pinstr_tiling_band_cert;pinstr_tiling_band_cert_after_schedule_length_ge;stripmine_schedule_after_env_eval;stripmine_schedule_after_env_length,4,src/TilingBandMixedSecondValidator.v:1545:Core.stripmine_schedule_after_env;src/TilingBandMixedSecondValidator.v:1555:Core.stripmine_schedule_after_env;src/TilingBandMixedSecondValidator.v:2607:Core.stripmine_schedule_after_env;src/TilingBandMixedSecondValidator.v:2627:Core.stripmine_schedule_after_env,yes,yes,no,yes
Definition,zero_schedule_row,TilingBandScheduleValidator.zero_schedule_row,TilingBandScheduleValidator,CommonBandInfrastructure,,247,249,,,,0,0,0,,14,affine_product_pad_schedule_to_len;affine_product_zero_schedule_rows;exact_listzzs_cols_repeat_zero_schedule_row;global_semantic_schedule_mask_zero_on_false;nth_error_pad_schedule_to_len_local;pad_schedule_with_zero_rows;phase_semantic_padded_identity_rows_at;phase_semantic_padded_identity_rows_from;schedule_matches_with_trailing_zero_padding_affine_product_firstn;semantic_band_row;semantic_band_row_exact_cols;semantic_ordinary_target_schedule;semantic_second_level_grouped_target_schedule;semantic_second_level_interleaved_target_schedule,0,,no,yes,no,yes
Definition,pad_schedule_with_zero_rows,TilingBandScheduleValidator.pad_schedule_with_zero_rows,TilingBandScheduleValidator,CommonBandInfrastructure,,250,253,,,,0,0,1,zero_schedule_row,5,affine_product_pad_schedule_with_zero_rows;check_schedule_with_trailing_zero_paddingb;schedule_matches_with_trailing_zero_padding;schedule_matches_with_trailing_zero_padding_affine_product_firstn;schedule_matches_with_trailing_zero_padding_length_ge,0,,no,yes,no,yes
Definition,check_schedule_with_trailing_zero_paddingb,TilingBandScheduleValidator.check_schedule_with_trailing_zero_paddingb,TilingBandScheduleValidator,CommonBandInfrastructure,,254,267,,,,0,0,1,pad_schedule_with_zero_rows,6,check_pinstr_second_level_schedule_interleavedb;check_pinstr_second_level_schedule_stripminedb;check_pinstr_tiling_schedule_stripminedb;check_scalar_aware_common_shape_entries;check_schedule_with_symmetric_trailing_zero_paddingb;check_schedule_with_trailing_zero_paddingb_sound,4,src/TilingBandPhaseScalarValidator.v:160:Core.check_schedule_with_trailing_zero_paddingb;src/TilingBandPhaseScalarValidator.v:198:Core.check_schedule_with_trailing_zero_paddingb;src/TilingBandPhaseScalarValidator.v:358:Core.check_schedule_with_trailing_zero_paddingb;src/TilingBandPhaseScalarValidator.v:396:Core.check_schedule_with_trailing_zero_paddingb,yes,yes,no,yes
Definition,schedule_matches_with_trailing_zero_padding,TilingBandScheduleValidator.schedule_matches_with_trailing_zero_padding,TilingBandScheduleValidator,CommonBandInfrastructure,,268,272,,,,0,0,1,pad_schedule_with_zero_rows,11,check_pinstr_list_second_level_schedule_by_layoutb_nth_error;check_pinstr_list_second_level_schedule_interleavedb_nth_error;check_pinstr_list_second_level_schedule_stripminedb_nth_error;check_pinstr_tiling_schedule_stripminedb_sound;check_schedule_with_trailing_zero_paddingb_sound;inferred_tiling_band_schedule_length_lower;pinstr_tiling_band_cert;scalar_aware_entry_shape;schedule_matches_with_symmetric_trailing_zero_padding;schedule_matches_with_trailing_zero_padding_affine_product_firstn;schedule_matches_with_trailing_zero_padding_length_ge,1,src/TilingBandPhaseScalarValidator.v:116:Core.schedule_matches_with_trailing_zero_padding,yes,yes,no,yes
Definition,check_schedule_with_symmetric_trailing_zero_paddingb,TilingBandScheduleValidator.check_schedule_with_symmetric_trailing_zero_paddingb,TilingBandScheduleValidator,CommonBandInfrastructure,,273,277,,,,0,0,1,check_schedule_with_trailing_zero_paddingb,8,check_ordinary_semantic_schedulesb;check_phase_semantic_ordinary_schedulesb;check_phase_semantic_second_level_schedules_symmetricb;check_phase_semantic_source_scheduleb;check_pinstr_list_second_level_schedule_by_layoutb_implies_symmetricb;check_pinstr_second_level_schedule_symmetricb;check_schedule_with_symmetric_trailing_zero_paddingb_sound;check_second_level_semantic_schedulesb,0,,no,yes,no,yes
Definition,schedule_matches_with_symmetric_trailing_zero_padding,TilingBandScheduleValidator.schedule_matches_with_symmetric_trailing_zero_padding,TilingBandScheduleValidator,CommonBandInfrastructure,,278,282,,,,0,0,1,schedule_matches_with_trailing_zero_padding,16,check_pinstr_list_second_level_schedule_symmetricb_nth_error;check_schedule_with_symmetric_trailing_zero_paddingb_sound;ordinary_semantic_schedules_match;ordinary_semantic_schedules_match_nth_error;phase_semantic_added_tiles_eq;phase_semantic_ordinary_schedules_match;phase_semantic_ordinary_schedules_match_nth_error;phase_semantic_second_added_tiles_eq;phase_semantic_second_level_schedules_match;phase_semantic_second_level_sources_match;phase_semantic_second_schedules_equivalent_pair_lex;phase_semantic_second_schedules_match_nth_error;phase_semantic_second_sources_match_nth_error;schedule_matches_with_symmetric_trailing_zero_padding_affine_product_is_eq;second_level_semantic_schedules_match;second_level_semantic_schedules_match_nth_error,0,,no,yes,no,yes
Definition,schedule_take_prefix_band,TilingBandScheduleValidator.schedule_take_prefix_band,TilingBandScheduleValidator,CommonBandInfrastructure,,283,286,,,,0,0,1,pinstr_tiling_band,0,,0,,no,no,no,no
Definition,schedule_take_prefix_only,TilingBandScheduleValidator.schedule_take_prefix_only,TilingBandScheduleValidator,CommonBandInfrastructure,,287,290,,,,0,0,1,pinstr_tiling_band,2,project_pluto_phased_band_pi_ext;retiled_old_band_new_pi,0,,no,no,no,no
Definition,retiled_old_band_old_pi,TilingBandScheduleValidator.retiled_old_band_old_pi,TilingBandScheduleValidator,CommonBandInfrastructure,,291,309,,,,0,0,1,pinstr_tiling_band,3,rel_list_eqdom_retiled_old_band_old;retiled_old_band_old_pi_eqdom_retiled_old;retiled_old_band_old_pinstrs,0,,no,no,no,no
Definition,retiled_old_band_new_pi,TilingBandScheduleValidator.retiled_old_band_new_pi,TilingBandScheduleValidator,CommonBandInfrastructure,,310,329,,,,0,0,2,pinstr_tiling_band;schedule_take_prefix_only,1,retiled_old_band_new_pinstrs,0,,no,no,no,no
Definition,after_stripmined_band_new_pi,TilingBandScheduleValidator.after_stripmined_band_new_pi,TilingBandScheduleValidator,CommonBandInfrastructure,,330,347,,,,0,0,1,pinstr_tiling_band,3,after_stripmined_band_new_pi_eqdom_after;after_stripmined_band_new_pinstrs;rel_list_eqdom_after_stripmined_band_new,0,,no,no,no,no
Fixpoint,retiled_old_band_old_pinstrs,TilingBandScheduleValidator.retiled_old_band_old_pinstrs,TilingBandScheduleValidator,CommonBandInfrastructure,,348,360,,,,0,0,2,pinstr_tiling_band;retiled_old_band_old_pi,2,retiled_old_band_old_pinstrs_preserve_length;retiled_old_band_old_pprog,0,,no,no,no,no
Fixpoint,retiled_old_band_new_pinstrs,TilingBandScheduleValidator.retiled_old_band_new_pinstrs,TilingBandScheduleValidator,CommonBandInfrastructure,,361,373,,,,0,0,2,pinstr_tiling_band;retiled_old_band_new_pi,1,retiled_old_band_new_pprog,0,,no,no,no,no
Fixpoint,after_stripmined_band_new_pinstrs,TilingBandScheduleValidator.after_stripmined_band_new_pinstrs,TilingBandScheduleValidator,CommonBandInfrastructure,,374,383,,,,0,0,2,after_stripmined_band_new_pi;pinstr_tiling_band,2,after_stripmined_band_new_pinstrs_preserve_length;after_stripmined_band_new_pprog,0,,no,no,no,no
Definition,retiled_old_band_old_pprog,TilingBandScheduleValidator.retiled_old_band_old_pprog,TilingBandScheduleValidator,CommonBandInfrastructure,,384,394,,,,0,0,2,pinstr_tiling_band;retiled_old_band_old_pinstrs,1,retiled_old_band_old_pprog_eqdom_retiled_old_pprog,0,,no,no,no,no
Definition,retiled_old_band_new_pprog,TilingBandScheduleValidator.retiled_old_band_new_pprog,TilingBandScheduleValidator,CommonBandInfrastructure,,395,405,,,,0,0,2,pinstr_tiling_band;retiled_old_band_new_pinstrs,0,,0,,no,no,no,no
Definition,after_stripmined_band_new_pprog,TilingBandScheduleValidator.after_stripmined_band_new_pprog,TilingBandScheduleValidator,CommonBandInfrastructure,,406,414,,,,0,0,2,after_stripmined_band_new_pinstrs;pinstr_tiling_band,1,after_stripmined_band_new_pprog_eqdom_after,0,,no,no,no,no
Definition,project_band_pi_ext,TilingBandScheduleValidator.project_band_pi_ext,TilingBandScheduleValidator,CommonBandInfrastructure,,415,433,,,,0,0,1,pinstr_tiling_band,11,flatten_instr_nth_ext_project_band;flatten_instrs_ext_project_band;nth_error_project_pinstrs_ext_with_bands;project_band_ip_ext_belongs_to_ext;project_band_ip_ext_belongs_to_ext_local;project_band_pi_ext_wf_tiling;project_pinstrs_ext_with_band;project_pinstrs_ext_with_bands;project_pprog_band_ip_ext_belongs_to_ext_local;project_restore_projected_band_ip_ext;restore_projected_band_ip_ext_from_project_belongs_to_ext,0,,no,no,no,no
Fixpoint,project_pinstrs_ext_with_bands,TilingBandScheduleValidator.project_pinstrs_ext_with_bands,TilingBandScheduleValidator,CommonBandInfrastructure,,434,444,,,,0,0,2,pinstr_tiling_band;project_band_pi_ext,3,nth_error_project_pinstrs_ext_with_bands;project_pinstrs_ext_with_bands_preserve_length;project_pinstrs_ext_with_bands_wf_tiling,0,,no,no,no,no
Definition,project_pinstrs_ext_with_band,TilingBandScheduleValidator.project_pinstrs_ext_with_band,TilingBandScheduleValidator,CommonBandInfrastructure,,445,450,,,,0,0,2,pinstr_tiling_band;project_band_pi_ext,2,flatten_instrs_ext_project_band;project_pinstrs_ext_with_band_wf_tiling,0,,no,no,no,no
Definition,band_new_cutoff,TilingBandScheduleValidator.band_new_cutoff,TilingBandScheduleValidator,CommonBandInfrastructure,,451,454,,,,0,0,1,pinstr_tiling_band,1,max_band_new_cutoff,0,,no,no,no,no
Definition,tile_sizes_of_witness,TilingBandScheduleValidator.tile_sizes_of_witness,TilingBandScheduleValidator,CommonBandInfrastructure,,455,458,,,,0,0,0,,14,check_common_tiling_band_recipe_withb;check_common_tiling_band_recipe_withb_sound;check_common_tiling_band_recipeb;check_common_tiling_band_recipeb_sound;ordinary_pair_local_reversal_bridge_wf_with_env_len;ordinary_semantic_band_shape_reversal_bridge;parse_ordinary_semantic_data;parse_ordinary_semantic_data_nth_error;parse_ordinary_semantic_data_positive;phase_semantic_added_tiles_eq;phase_semantic_ordinary_band_shape_reversal_bridge;pprog_pluto_permutable_tiling_bands_strong_implies_reordering_safe_wf_with_env_len;scalar_aware_common_shape_reversal_bridge;scalar_aware_pair_local_reversal_bridge_wf_with_env_len,10,src/TilingBandMixedSecondValidator.v:410:Core.tile_sizes_of_witness;src/TilingBandMixedSecondValidator.v:1875:Core.tile_sizes_of_witness;src/TilingBandMixedSecondValidator.v:1876:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:110:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:207:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:656:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:1251:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:1252:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:1860:Core.tile_sizes_of_witness;src/TilingBandPhaseScalarValidator.v:1861:Core.tile_sizes_of_witness,yes,yes,no,yes
Fixpoint,check_common_tiling_band_recipe_withb,TilingBandScheduleValidator.check_common_tiling_band_recipe_withb,TilingBandScheduleValidator,CommonBandInfrastructure,,459,468,,,,0,0,2,listz_strict_eqb;tile_sizes_of_witness,2,check_common_tiling_band_recipe_withb_sound;check_common_tiling_band_recipeb,0,,no,yes,no,yes
Definition,check_common_tiling_band_recipeb,TilingBandScheduleValidator.check_common_tiling_band_recipeb,TilingBandScheduleValidator,CommonBandInfrastructure,,469,476,,,,0,0,2,check_common_tiling_band_recipe_withb;tile_sizes_of_witness,7,check_common_tiling_band_recipeb_sound;check_pprog_pluto_permutable_tiling_bands_direct;check_pprog_pluto_permutable_tiling_bands_direct_sound_with_env_len;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling_sound_with_env_len;infer_pprog_scalar_aware_common_shape;infer_pprog_scalar_aware_common_shape_sound,0,,no,yes,no,yes
Definition,constant_schedule_row_like,TilingBandScheduleValidator.constant_schedule_row_like,TilingBandScheduleValidator,CommonBandInfrastructure,,477,484,,,,0,0,0,,4,affine_product_constant_schedule_row_like_zero;exact_listzzs_cols_constant_schedule_row_like_zero;prioritize_pluto_band_component_or_zero_rows;project_pluto_phased_band_pi_ext,0,,no,no,no,no
Fixpoint,uniform_tile_link_const_opt,TilingBandScheduleValidator.uniform_tile_link_const_opt,TilingBandScheduleValidator,CommonBandInfrastructure,,485,495,,,,0,0,0,,1,witness_phase_const_opt,0,,no,no,no,no
Definition,witness_phase_const_opt,TilingBandScheduleValidator.witness_phase_const_opt,TilingBandScheduleValidator,CommonBandInfrastructure,,496,499,,,,0,0,1,uniform_tile_link_const_opt,1,project_pinstrs_ext_with_pluto_phased_band,0,,no,no,no,no
Definition,schedule_band_rows,TilingBandScheduleValidator.schedule_band_rows,TilingBandScheduleValidator,CommonBandInfrastructure,,500,504,,,,0,0,1,pinstr_tiling_band,1,project_pluto_phased_band_pi_ext,0,,no,no,no,no
Definition,project_pluto_phased_band_pi_ext,TilingBandScheduleValidator.project_pluto_phased_band_pi_ext,TilingBandScheduleValidator,CommonBandInfrastructure,,505,525,,,,0,0,4,constant_schedule_row_like;pinstr_tiling_band;schedule_band_rows;schedule_take_prefix_only,1,project_pinstrs_ext_with_pluto_phased_band,0,,no,no,no,no
