section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Theorem,False,extracted_sequential_compile_verified_correct,34,70,37,extracted_sequential_compile_verified_correct,41,70,30,28,28,0,,2,extracted_parallel_compile_seq_verified_correct;extracted_sequential_compile_correct,0,2,0,0,,0,False,internal-live
Declarations,Theorem,False,extracted_sequential_compile_correct,72,85,14,extracted_sequential_compile_correct,79,85,7,5,5,1,extracted_sequential_compile_verified_correct,0,,0,0,0,0,,0,False,zero-reference
Declarations,Lemma,False,extracted_checked_lift_sequential_loop_correct,87,117,31,extracted_checked_lift_sequential_loop_correct,94,117,24,22,22,0,,1,extracted_parallel_compile_seq_verified_correct,0,1,0,0,,0,False,internal-live
Declarations,Lemma,False,extracted_parallel_compile_seq_verified_correct,119,142,24,extracted_parallel_compile_seq_verified_correct,126,142,17,15,15,2,extracted_checked_lift_sequential_loop_correct;extracted_sequential_compile_verified_correct,1,extracted_parallel_compile_verified_correct,0,1,0,0,,0,False,internal-live
Declarations,Theorem,False,extracted_parallel_compile_verified_correct,144,248,105,extracted_parallel_compile_verified_correct,151,248,98,96,96,1,extracted_parallel_compile_seq_verified_correct,1,extracted_parallel_compile_correct,0,1,0,0,,0,False,internal-live
Declarations,Theorem,False,extracted_parallel_compile_correct,250,263,14,extracted_parallel_compile_correct,257,263,7,5,5,1,extracted_parallel_compile_verified_correct,0,,0,0,0,0,,0,False,zero-reference
Declarations,Theorem,False,extracted_sequential_unsupported_no_result,265,277,13,extracted_sequential_unsupported_no_result,271,277,7,5,5,0,,0,,0,0,0,0,,0,False,zero-reference
Declarations,Theorem,False,extracted_parallel_unsupported_no_result,279,291,13,extracted_parallel_unsupported_no_result,285,291,7,5,5,0,,0,,0,0,0,0,,0,False,zero-reference
