section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Definition,False,try_checked_iss_phase_pipeline_from_poly,253,280,28,try_checked_iss_phase_pipeline_from_poly,,,0,0,0,5,check_wf_polyprog;infer_iss_from_source_scop;run_pluto_phase_pipeline;run_pluto_phase_pipeline_with_iss;try_phase_pipeline_from_source_pol,1,phase_pipeline_opt_prepared_from_poly_with_iss,0,1,0,2,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,phase_pipeline_opt_prepared_from_poly_no_iss,282,295,14,phase_pipeline_opt_prepared_from_poly_no_iss,,,0,0,0,5,affine_only_opt_prepared_from_poly;export_for_phase_scheduler;has_nonscalar_stmt;run_pluto_phase_pipeline;try_phase_pipeline_from_source_pol,1,phase_pipeline_opt_prepared_from_poly,0,1,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,phase_pipeline_opt_prepared_from_poly_with_iss,297,307,11,phase_pipeline_opt_prepared_from_poly_with_iss,,,0,0,0,4,affine_only_opt_prepared_from_poly;export_for_phase_scheduler;has_nonscalar_stmt;try_checked_iss_phase_pipeline_from_poly,1,phase_opt_prepared_from_poly_with_iss,0,1,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,phase_pipeline_opt_prepared_from_poly,309,310,2,phase_pipeline_opt_prepared_from_poly,,,0,0,0,1,phase_pipeline_opt_prepared_from_poly_no_iss,2,phase_opt_prepared_from_poly;phase_pipeline_opt_prepared,0,2,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,phase_opt_prepared_from_poly,312,312,1,phase_opt_prepared_from_poly,,,0,0,0,1,phase_pipeline_opt_prepared_from_poly,0,,0,0,0,4,driver/CPolOpt.v;driver/PolOptCorrect.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,phase_opt_prepared_from_poly_with_iss,313,314,2,phase_opt_prepared_from_poly_with_iss,,,0,0,0,1,phase_pipeline_opt_prepared_from_poly_with_iss,1,phase_pipeline_opt_prepared_with_iss,0,1,0,3,driver/PolOptCorrect.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,phase_pipeline_opt_prepared,316,319,4,phase_pipeline_opt_prepared,,,0,0,0,1,phase_pipeline_opt_prepared_from_poly,1,phase_opt_prepared,0,1,0,0,,0,True,internal-live
Declarations,Definition,False,identity_opt_prepared,321,324,4,identity_opt_prepared,,,0,0,0,1,identity_opt_prepared_from_poly,0,,0,0,0,4,driver/PolOptCorrect.v;driver/VerifiedCompilerConfig.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,identity_tiling_generic_opt_prepared,326,329,4,identity_tiling_generic_opt_prepared,,,0,0,0,1,identity_tiling_generic_opt_prepared_from_poly,0,,0,0,0,3,driver/PolOptCorrect.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,identity_tiling_generic_opt_prepared_with_iss,331,335,5,identity_tiling_generic_opt_prepared_with_iss,,,0,0,0,1,identity_tiling_generic_opt_prepared_from_poly_with_iss,0,,0,0,0,3,driver/PolOptIdentityGenericISS.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,affine_only_opt_prepared,337,340,4,affine_only_opt_prepared,,,0,0,0,1,affine_only_opt_prepared_from_poly,1,affine_opt_prepared,0,1,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,affine_opt_prepared,342,342,1,affine_opt_prepared,,,0,0,0,1,affine_only_opt_prepared,0,,0,0,0,4,driver/PolOptCorrect.v;driver/VerifiedCompilerConfig.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,phase_pipeline_opt_prepared_with_iss,344,347,4,phase_pipeline_opt_prepared_with_iss,,,0,0,0,1,phase_opt_prepared_from_poly_with_iss,1,phase_opt_prepared_with_iss,0,1,0,0,,0,True,internal-live
Declarations,Definition,False,phase_opt_prepared,349,349,1,phase_opt_prepared,,,0,0,0,1,phase_pipeline_opt_prepared,1,Opt_prepared,0,1,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,phase_opt_prepared_with_iss,350,350,1,phase_opt_prepared_with_iss,,,0,0,0,1,phase_pipeline_opt_prepared_with_iss,1,Opt_prepared_with_iss,0,1,0,1,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Lemma,False,scheduler'_correct,353,375,23,scheduler'_correct,359,375,17,15,15,2,affine_scheduler;checked_affine_schedule,3,Extract_Schedule_Prepared_correct;Extract_Schedule_correct;affine_opt_prepared_from_poly_correct,0,3,0,2,driver/ParallelPolOptCorrect.v,0,True,confirmed-external
Declarations,Lemma,False,Extract_Schedule_correct,377,398,22,Extract_Schedule_correct,384,398,15,13,13,1,scheduler'_correct,0,,0,0,0,0,,0,False,zero-reference
Declarations,Definition,False,Opt_prepared,400,401,2,Opt_prepared,,,0,0,0,1,phase_opt_prepared,1,Opt,0,1,0,2,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,Opt_prepared_with_iss,403,404,2,Opt_prepared_with_iss,,,0,0,0,1,phase_opt_prepared_with_iss,1,Opt_with_iss,0,1,0,2,driver/PolOptCorrect.v,0,True,confirmed-external
Declarations,Definition,False,Opt,406,406,1,Opt,,,0,0,0,1,Opt_prepared,0,,0,0,0,3,driver/CPolOpt.v;driver/PolOptCorrect.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Definition,False,Opt_with_iss,407,407,1,Opt_with_iss,,,0,0,0,1,Opt_prepared_with_iss,0,,0,0,0,2,driver/PolOptCorrect.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Lemma,False,extractor_success_wf_pprog_affine,409,425,17,extractor_success_wf_pprog_affine,413,425,13,11,11,0,,1,extractor_success_wf_pprog,0,1,0,15,driver/ParallelPolOptCorrect.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v,0,True,confirmed-external
Declarations,Lemma,False,extractor_success_wf_pprog,427,435,9,extractor_success_wf_pprog,431,435,5,3,3,1,extractor_success_wf_pprog_affine,0,,0,0,0,0,,0,False,zero-reference
Declarations,Lemma,False,scheduler'_preserve_wf,437,463,27,scheduler'_preserve_wf,443,463,21,19,19,2,affine_scheduler;checked_affine_schedule,1,affine_opt_prepared_from_poly_correct,0,1,0,2,driver/ParallelPolOptCorrect.v,0,True,confirmed-external
